restaurant_id,restaurant_name,cuisine_type
3195,MP Dhaba,Recommended
3196,Hill View Holiday Home And Resort,Ethnic Dishes
3197,Kaveri - Lalpur,Breakfast Special's & Snacks
3198,Khana Khazana,Veg Starter
3199,Takeout - Asian Goodness,Chopsuey
3200,Mountain's Pizza Club,Mountain Supreme
3201,Laduram Nanagram Mawawala,Mawa Item
3202,Scholars,Paneer Main Course
3203,Food Hut,Starter
3204,Jashn The Restaurant,Combos Loved By Ranchi
3205,Supreme Upper Crust,Breads
3206,Gangaur Next,Bakers Namkeen
3207,Preeti Tiffins,Butter Paneer Special
3208,Manbhawan Sweets,Pastries
3209,Jashan Restaurant,"Rice Pulao, Biryani"
3210,Wendo's Pizza,Combos
3211,Tea Time,Recommended
3212,Mast Biryani,Raita And Salad
3213,Tan-Sukh By Kanha,Breakfast Specials
3214,Miles - City Mall,Boss Burgers
3215,Pikwik Since 1991,Appetizers-vegetarian
3216,Bombay Mishthan Bhandar (Bmb) - Sanganeeri Gate,Sabji In Kg
3217,Mezang Traditional Restaurant,Recommended
3218,New Chanakya,Indian Breads
3219,Bombay Mishthan Bhandar (Bmb) - Durapura,Continental
3220,The Meating Point,Rolls
3221,Madras Cafe,Indian
3222,Lacima Cafe & Pizzeria,Mojitos
3223,Handi Punjab Ki,Momos
3224,Third Wave Coffee,Recommended
3225,Anna Punjabi,Quick Snacks
3226,Machhli Baba Fries,Momos
3227,Urban Tadka,Sea Food Main Course
3228,Paprika - Pramod Laddu Bhandar,Tandoor Breads
3229,Taaka Chinese,Recommended
3230,Sangeetha's Desi Mane - Annanagar,Rice And Noodles
3231,Pandit Ji Sweets & Restaurant Dairy,Tikki & Chaat
3232,Munchies,Chicken Items
3233,Friends Corner,Indian Bread
3234,New Khusboo Biryani (Halal),Rice
3235,Munchies,Recommended
3236,Street 9,Noodles
3237,Millet Express,Idli
3238,Priyas - Pure Veg,Uthappam
3239,KFC,Sides And Dips
3240,Ram Dairy,Dairy Products
3241,Eden Restaurant,Chinese Rice & Noodles
3242,Home Plate by EatFit,Onam Range (Festive Special)
3243,Aao Ji Te Khao Ji,Desserts
3244,THE PERSIAN TABLE,Chicken And Beef Center
3245,Idly Dosa for You,Ghee Dosa's - Special
3246,Sambharsa,Sambharsa Special
3247,Prime Bakery & Sweets,Pastries
3248,Devi Fast Food,Fride Rice
3249,Sree Krishna Hotel,Sk Special  Thali
3250,Try Me,Breads
3251,Supreme Upper Crust,"Fried Rice,noodles & Chopsuey"
3252,Priya Restaurant,Tandoor
3253,Tasty Tastes - Nagmapal,Cutlets
3254,Wow! Chicken By Wow! Momo,Chicken and Roti Combo “Newly Launched”
3255,Shreelal Food Plaza,Recommended
3256,The Belgian Waffle Co.,Waffles
3257,Trelly,Indian Chicken
3258,NH1 Bowls - Highway To North,Recommended
3259,Millet Express,Pani Puri and Snacks
3260,Grits N Gravy,Veg Snacks
3261,Mahalaxmi Sweets,Evening Snacks
3262,ITC Master Chef Creations,Rice Bowls
3263,Captain Sam's Pizza,Large Pizza 
3264,Das Khaman,Snacks
3265,Sherowali Restaurant And Cafe,Accompaniments
3266,New Freeze Land,Extras
